recordIdentifier, creatorID
oai:dash.harvard.edu:1/2031670,"Shieber, Stuart"
oai:dash.harvard.edu:1/2019322,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031713,"Marks, Joe"
oai:dash.harvard.edu:1/2031713,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031713,"Johari, Ramesh"
oai:dash.harvard.edu:1/2031713,"Partovi, Ali"
oai:dash.harvard.edu:1/2026618,"Shieber, Stuart"
oai:dash.harvard.edu:1/2027194,"Hobbs, Jerry"
oai:dash.harvard.edu:1/2027194,"Shieber, Stuart"
oai:dash.harvard.edu:1/2027199,"Moore, Robert C."
oai:dash.harvard.edu:1/2027199,"Pereira, Fernando C. N."
oai:dash.harvard.edu:1/2027199,"van Noord, Gertjan"
oai:dash.harvard.edu:1/2027199,"Shieber, Stuart"
oai:dash.harvard.edu:1/2027200,"Pereira, Fernando C. N."
oai:dash.harvard.edu:1/2027200,"Dalrymple, Mary"
oai:dash.harvard.edu:1/2027200,"Shieber, Stuart"
oai:dash.harvard.edu:1/2027201,"Shieber, Stuart"
oai:dash.harvard.edu:1/2027201,"Schabes, Yves"
oai:dash.harvard.edu:1/2027202,"Darnton, Robert"
oai:dash.harvard.edu:1/2027203,"Shieber, Stuart"
oai:dash.harvard.edu:1/2027204,"Shieber, Stuart"
oai:dash.harvard.edu:1/2027204,"Nelken, Rani"
oai:dash.harvard.edu:1/2031672,"Thorpe, Christopher"
oai:dash.harvard.edu:1/2031672,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031672,"Rabin, Michael"
oai:dash.harvard.edu:1/2031672,"Parkes, David"
oai:dash.harvard.edu:1/2031673,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031673,"Lappin, Shalom"
oai:dash.harvard.edu:1/2031671,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031671,"Ohno-Machado, Lucila"
oai:dash.harvard.edu:1/2031671,"Weber, Griffin"
oai:dash.harvard.edu:1/2031714,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031714,"Kehler, Andrew"
oai:dash.harvard.edu:1/2634181,"Zabih, Ramin"
oai:dash.harvard.edu:1/2634181,"Kolmogorov, Vladimir"
oai:dash.harvard.edu:1/2634181,"Gortler, Steven"
oai:dash.harvard.edu:1/2031717,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031717,"Marks, Joe"
oai:dash.harvard.edu:1/2031717,"Ngo, J. Thomas"
oai:dash.harvard.edu:1/2031717,"Ruml, Wheeler"
oai:dash.harvard.edu:1/2031718,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031718,"Silverstein, Craig"
oai:dash.harvard.edu:1/2032467,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031715,"Pereira, Fernando C. N."
oai:dash.harvard.edu:1/2031715,"Dalrymple, Mary"
oai:dash.harvard.edu:1/2031715,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031716,"Shieber, Stuart"
oai:dash.harvard.edu:1/2031716,"Pereira, Fernando C. N."
oai:dash.harvard.edu:1/2031716,"Schabes, Yves"
oai:dash.harvard.edu:1/2032465,"Shieber, Stuart"
oai:dash.harvard.edu:1/2032466,"Kosak, Corey"
oai:dash.harvard.edu:1/2032466,"Shieber, Stuart"